"GEO_ID","NAME","B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Margin of Error!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Margin of Error!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Margin of Error!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Margin of Error!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Margin of Error!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Margin of Error!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Margin of Error!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Margin of Error!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Margin of Error!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Margin of Error!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Margin of Error!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Margin of Error!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Margin of Error!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Margin of Error!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Margin of Error!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Margin of Error!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Margin of Error!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Margin of Error!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Margin of Error!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Margin of Error!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Margin of Error!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Margin of Error!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Margin of Error!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Margin of Error!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Margin of Error!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Margin of Error!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Margin of Error!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Margin of Error!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Margin of Error!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Margin of Error!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over",
"1500000US040130101021","Block Group 1, Census Tract 101.02, Maricopa County, Arizona","1004","404","594","228","31","50","41","65","14","40","33","51","0","13","0","13","0","13","3","6","20","32","37","51","114","71","0","13","0","13","8","21","32","50","0","13","61","97","0","13","82","77","82","93","36","43","0","13","0","13","410","190","0","13","38","54","0","13","0","13","0","13","0","13","0","13","0","13","0","13","22","35","37","59","41","53","0","13","7","21","2","5","60","95","67","92","0","13","33","37","83","92","20","31","0","13","0","13",
"1500000US040130101022","Block Group 2, Census Tract 101.02, Maricopa County, Arizona","1622","438","848","239","0","13","0","13","30","70","13","19","10","17","0","13","0","13","0","13","52","72","0","13","0","13","0","13","46","74","44","54","220","122","0","13","81","62","0","13","51","45","162","143","57","53","82","82","0","13","774","230","0","13","39","60","14","20","9","18","0","13","0","13","0","13","0","13","25","40","0","13","0","13","32","74","33","37","149","148","99","63","28","34","96","102","46","54","52","47","49","46","49","59","54","66","0","13",
"1500000US040130101023","Block Group 3, Census Tract 101.02, Maricopa County, Arizona","2727","470","1274","211","0","13","17","25","0","13","33","43","15","27","0","13","0","13","19","29","0","13","0","13","0","13","0","13","28","38","40","42","166","83","52","51","136","74","83","64","169","87","276","116","138","91","81","58","21","32","1453","298","0","13","6","18","6","18","15","23","6","19","0","13","0","13","21","36","0","13","0","13","0","13","0","13","78","59","83","67","228","112","114","71","155","81","67","52","124","72","333","238","172","106","45","50","0","13",
"1500000US040130101031","Block Group 1, Census Tract 101.03, Maricopa County, Arizona","1262","361","578","172","26","37","0","13","0","13","0","13","28","40","0","13","0","13","23","37","0","13","41","46","0","13","0","13","0","13","127","98","54","52","22","34","60","46","27","31","14","24","27","31","77","80","52","63","0","13","684","228","0","13","26","38","52","69","34","30","0","13","0","13","0","13","0","13","15","26","25","38","0","13","64","70","44","76","150","102","14","22","72","75","42","41","14","22","41","39","30","34","0","13","61","80","0","13",
"1500000US040130101032","Block Group 2, Census Tract 101.03, Maricopa County, Arizona","1834","549","821","223","17","27","18","30","0","13","0","13","0","13","0","13","0","13","0","13","0","13","28","33","68","69","31","41","77","99","134","82","52","51","76","78","63","52","63","58","80","129","36","30","78","78","0","13","0","13","1013","347","99","108","35","45","18","31","55","60","42","63","0","13","0","13","0","13","17","27","55","67","146","133","32","42","0","13","105","67","185","112","0","13","40","37","0","13","67","90","101","71","0","13","16","26","0","13",
"1500000US040130101041","Block Group 1, Census Tract 101.04, Maricopa County, Arizona","184","87","82","40","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","15","24","0","13","27","31","40","32","0","13","0","13","0","13","102","50","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","13","21","25","22","28","33","0","13","0","13","36","29","0","13","0","13","0","13",
"1500000US040130101042","Block Group 2, Census Tract 101.04, Maricopa County, Arizona","1188","228","563","114","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","15","23","0","13","58","69","33","37","113","63","187","84","72","54","18","29","67","52","625","137","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","22","36","0","13","0","13","0","13","0","13","32","37","17","26","101","67","77","41","95","77","122","71","99","86","44","41","16","27",
"1500000US040130101043","Block Group 3, Census Tract 101.04, Maricopa County, Arizona","1139","496","577","268","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","17","27","0","13","43","69","15","24","159","255","56","54","74","54","118","102","95","57","0","13","562","230","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","16","27","20","30","39","47","0","13","74","76","0","13","213","220","136","94","64","51","0","13","0","13",
"1500000US040130304011","Block Group 1, Census Tract 304.01, Maricopa County, Arizona","1652","446","796","233","0","13","44","69","45","69","0","13","19","34","0","13","0","13","2","5","2","5","3","6","0","13","28","46","0","13","152","116","65","75","43","71","0","13","51","52","0","13","69","70","118","95","31","51","124","72","856","249","0","13","0","13","0","13","44","70","0","13","0","13","0","13","65","81","0","13","0","13","0","13","39","65","18","33","153","122","77","74","21","28","50","60","13","20","15","24","62","54","101","92","84","70","114","98",
