"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US110010001011","Block Group 1, Census Tract 1.01, District of Columbia, District of Columbia","756","151","0","13","32","44","33","41","64","80","0","13","6","19","0","13","0","13","0","13","13","20","0","13","36","37","123","90","12","20","124","85","313","88",
"1500000US110010001021","Block Group 1, Census Tract 1.02, District of Columbia, District of Columbia","816","233","0","13","0","13","38","58","0","13","0","13","0","13","32","52","0","13","0","13","0","13","0","13","40","40","156","200","72","66","201","99","277","110",
"1500000US110010001022","Block Group 2, Census Tract 1.02, District of Columbia, District of Columbia","496","126","0","13","0","13","0","13","0","13","0","13","12","20","14","21","15","25","0","13","31","40","51","78","50","62","11","17","29","34","0","13","283","136",
"1500000US110010001023","Block Group 3, Census Tract 1.02, District of Columbia, District of Columbia","450","161","13","22","0","13","0","13","0","13","0","13","0","13","0","13","0","13","16","26","0","13","117","128","11","20","0","13","11","18","20","32","262","104",
"1500000US110010002011","Block Group 1, Census Tract 2.01, District of Columbia, District of Columbia","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US110010002012","Block Group 2, Census Tract 2.01, District of Columbia, District of Columbia","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US110010002021","Block Group 1, Census Tract 2.02, District of Columbia, District of Columbia","478","126","0","13","0","13","0","13","14","22","0","13","0","13","0","13","0","13","0","13","0","13","10","17","20","23","0","13","14","24","47","40","373","126",
"1500000US110010002022","Block Group 2, Census Tract 2.02, District of Columbia, District of Columbia","270","98","15","24","7","11","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","35","54","0","13","66","69","0","13","0","13","147","67",
"1500000US110010002023","Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia","496","354","52","45","0","13","16","26","0","13","3","8","0","13","0","13","0","13","0","13","0","13","12","19","12","20","251","354","16","24","58","69","76","47",
"1500000US110010002024","Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia","483","110","42","55","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","93","81","0","13","48","68","30","31","35","34","57","57","178","105",
"1500000US110010003001","Block Group 1, Census Tract 3, District of Columbia, District of Columbia","471","105","0","13","56","63","0","13","0","13","0","13","44","55","0","13","0","13","0","13","0","13","44","47","52","49","24","28","10","17","67","48","174","69",
"1500000US110010003002","Block Group 2, Census Tract 3, District of Columbia, District of Columbia","704","210","7","11","36","28","23","24","0","13","0","13","7","11","0","13","15","24","0","13","162","176","40","41","64","56","157","95","54","63","42","30","97","71",
"1500000US110010003003","Block Group 3, Census Tract 3, District of Columbia, District of Columbia","570","128","35","42","7","13","0","13","8","13","0","13","0","13","8","13","0","13","0","13","32","41","36","41","6","11","26","33","0","13","76","50","336","113",
"1500000US110010003004","Block Group 4, Census Tract 3, District of Columbia, District of Columbia","632","121","15","24","0","13","6","11","0","13","0","13","12","19","0","13","0","13","0","13","0","13","23","34","14","22","53","49","65","52","117","81","327","104",
"1500000US110010004001","Block Group 1, Census Tract 4, District of Columbia, District of Columbia","209","42","6","9","0","13","15","15","0","13","5","8","0","13","0","13","5","7","0","13","8","12","6","10","7","12","6","9","0","13","30","19","121","33",
"1500000US110010004002","Block Group 2, Census Tract 4, District of Columbia, District of Columbia","369","70","44","31","0","13","0","13","7","11","0","13","0","13","0","13","0","13","5","7","44","33","22","21","27","20","57","29","11","13","61","49","91","31",
"1500000US110010005011","Block Group 1, Census Tract 5.01, District of Columbia, District of Columbia","646","272","62","59","6","9","145","232","0","13","0","13","0","13","0","13","22","22","0","13","28","28","76","72","21","23","58","39","56","43","43","35","129","80",
"1500000US110010005012","Block Group 2, Census Tract 5.01, District of Columbia, District of Columbia","552","119","26","28","0","13","17","25","0","13","0","13","0","13","6","15","0","13","0","13","39","38","11","19","73","63","37","37","85","60","155","81","103","58",
"1500000US110010005013","Block Group 3, Census Tract 5.01, District of Columbia, District of Columbia","780","260","12","20","0","13","0","13","0","13","0","13","19","23","161","214","16","24","5","9","30","35","22","18","83","64","31","38","32","30","72","56","297","137",
"1500000US110010005021","Block Group 1, Census Tract 5.02, District of Columbia, District of Columbia","713","86","21","28","8","12","8","12","0","13","0","13","0","13","0","13","15","17","3","6","26","23","71","42","53","35","84","48","12","14","100","43","312","72",
"1500000US110010005022","Block Group 2, Census Tract 5.02, District of Columbia, District of Columbia","928","186","25","28","41","49","0","13","10","15","37","26","0","13","10","17","0","13","0","13","45","45","12","14","120","73","85","74","115","71","123","58","305","142",
"1500000US110010006001","Block Group 1, Census Tract 6, District of Columbia, District of Columbia","561","119","12","19","126","103","0","13","0","13","0","13","0","13","0","13","0","13","0","13","9","16","42","37","61","47","77","62","30","24","65","53","139","63",
"1500000US110010006002","Block Group 2, Census Tract 6, District of Columbia, District of Columbia","499","115","16","25","12","19","11","18","0","13","0","13","0","13","0","13","0","13","19","30","15","24","12","20","15","27","69","76","60","48","40","39","230","102",
"1500000US110010006003","Block Group 3, Census Tract 6, District of Columbia, District of Columbia","368","137","6","10","6","10","0","13","0","13","2","3","0","13","77","122","0","13","33","51","0","13","5","9","54","47","14","24","9","16","33","34","129","60",
"1500000US110010006004","Block Group 4, Census Tract 6, District of Columbia, District of Columbia","677","118","0","13","28","32","0","13","0","13","0","13","0","13","0","13","0","13","5","9","0","13","44","51","25","38","16","25","72","47","94","77","393","120",
"1500000US110010007021","Block Group 1, Census Tract 7.02, District of Columbia, District of Columbia","742","150","5","9","40","62","0","13","0","13","0","13","10","17","12","21","0","13","11","21","83","74","75","57","221","119","22","38","66","53","85","53","112","62",
"1500000US110010007022","Block Group 2, Census Tract 7.02, District of Columbia, District of Columbia","812","184","135","78","0","13","80","76","0","13","138","124","39","63","0","13","40","61","0","13","58","46","178","117","71","58","42","51","5","8","26","30","0","13",
"1500000US110010007023","Block Group 3, Census Tract 7.02, District of Columbia, District of Columbia","600","180","46","62","30","39","18","32","2","4","0","13","20","29","16","22","16","19","12","17","70","78","44","36","109","113","103","100","15","25","45","54","54","47",
"1500000US110010007031","Block Group 1, Census Tract 7.03, District of Columbia, District of Columbia","882","222","57","81","0","13","0","13","0","13","27","32","16","23","6","10","0","13","0","13","76","62","39","38","186","133","117","118","166","135","72","75","120","76",
"1500000US110010007032","Block Group 2, Census Tract 7.03, District of Columbia, District of Columbia","1163","219","55","63","0","13","14","23","0","13","17","27","0","13","0","13","0","13","18","29","66","102","35","37","199","117","173","136","198","57","6","10","382","109",
"1500000US110010007041","Block Group 1, Census Tract 7.04, District of Columbia, District of Columbia","729","195","56","52","6","10","21","33","0","13","31","37","14","22","30","33","0","13","0","13","134","173","143","116","35","27","50","47","58","42","42","44","109","55",
"1500000US110010007042","Block Group 2, Census Tract 7.04, District of Columbia, District of Columbia","640","154","82","83","0","13","0","13","0","13","19","29","0","13","44","50","0","13","0","13","26","25","0","13","95","86","62","40","0","13","76","79","236","83",
"1500000US110010008021","Block Group 1, Census Tract 8.02, District of Columbia, District of Columbia","911","185","55","45","36","39","6","10","0","13","13","15","32","29","5","10","0","13","34","51","0","13","60","35","137","81","27","34","101","107","25","21","380","126",
"1500000US110010008022","Block Group 2, Census Tract 8.02, District of Columbia, District of Columbia","502","124","29","40","10","16","0","13","0","13","0","13","0","13","0","13","0","13","0","13","46","47","10","16","53","57","0","13","33","29","79","56","242","109",
"1500000US110010008031","Block Group 1, Census Tract 8.03, District of Columbia, District of Columbia","364","130","0","13","16","25","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","75","121","18","31","87","68","168","63",
"1500000US110010008032","Block Group 2, Census Tract 8.03, District of Columbia, District of Columbia","284","80","62","50","15","24","5","7","0","13","6","9","0","13","0","13","9","24","0","13","5","9","0","13","0","13","9","14","5","8","11","18","157","69",
"1500000US110010008033","Block Group 3, Census Tract 8.03, District of Columbia, District of Columbia","591","157","108","102","0","13","0","13","20","24","13","20","0","13","0","13","13","20","0","13","0","13","0","13","262","103","45","46","14","21","36","30","80","87",
"1500000US110010008041","Block Group 1, Census Tract 8.04, District of Columbia, District of Columbia","356","83","10","24","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","42","58","18","28","0","13","286","85",
"1500000US110010008042","Block Group 2, Census Tract 8.04, District of Columbia, District of Columbia","276","121","0","13","0","13","0","13","0","13","0","13","0","13","12","19","8","16","0","13","0","13","73","103","0","13","43","42","20","23","42","28","78","70",
"1500000US110010008043","Block Group 3, Census Tract 8.04, District of Columbia, District of Columbia","603","139","53","53","0","13","0","13","0","13","11","17","0","13","0","13","0","13","0","13","12","19","0","13","53","46","63","49","30","34","39","39","342","145",
"1500000US110010009021","Block Group 1, Census Tract 9.02, District of Columbia, District of Columbia","257","44","3","7","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","14","24","0","13","14","13","26","27","16","18","40","21","144","38",
"1500000US110010009022","Block Group 2, Census Tract 9.02, District of Columbia, District of Columbia","552","121","5","8","0","13","5","9","0","13","0","13","2","3","8","10","8","13","0","13","15","13","37","35","31","24","55","37","41","28","63","32","282","116",
"1500000US110010009031","Block Group 1, Census Tract 9.03, District of Columbia, District of Columbia","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US110010009032","Block Group 2, Census Tract 9.03, District of Columbia, District of Columbia","322","65","10","18","0","13","0","13","15","24","0","13","4","7","0","13","0","13","0","13","11","16","0","13","0","13","44","46","0","13","16","24","222","52",
"1500000US110010009041","Block Group 1, Census Tract 9.04, District of Columbia, District of Columbia","592","130","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","10","14","0","13","9","14","32","29","99","56","64","55","378","131",
"1500000US110010009042","Block Group 2, Census Tract 9.04, District of Columbia, District of Columbia","578","82","0","13","0","13","28","42","0","13","20","22","0","13","0","13","8","13","13","21","7","11","35","31","40","34","53","59","16","21","29","36","329","73",
"1500000US110010010021","Block Group 1, Census Tract 10.02, District of Columbia, District of Columbia","394","129","79","50","12","19","34","53","68","78","0","13","23","29","0","13","0","13","14","23","64","74","15","24","19","30","31","35","13","21","14","23","8","13",
"1500000US110010010022","Block Group 2, Census Tract 10.02, District of Columbia, District of Columbia","531","216","0","13","0","13","0","13","0","13","0","13","5","9","0","13","0","13","0","13","65","101","33","33","28","33","20","23","186","205","94","74","100","61",
"1500000US110010010023","Block Group 3, Census Tract 10.02, District of Columbia, District of Columbia","287","131","1","3","15","24","0","13","0","13","0","13","0","13","14","22","0","13","0","13","16","27","0","13","15","24","33","37","24","27","78","73","91","104",
"1500000US110010010024","Block Group 4, Census Tract 10.02, District of Columbia, District of Columbia","588","146","31","36","0","13","0","13","0","13","0","13","0","13","13","21","47","73","0","13","22","33","0","13","0","13","98","102","31","34","153","90","193","105",
"1500000US110010010031","Block Group 1, Census Tract 10.03, District of Columbia, District of Columbia","355","104","0","13","0","13","23","36","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","32","39","0","13","61","75","49","45","190","66",
"1500000US110010010032","Block Group 2, Census Tract 10.03, District of Columbia, District of Columbia","393","118","0","13","0","13","0","13","0","13","0","13","17","26","0","13","0","13","0","13","0","13","33","37","16","24","17","29","37","34","0","13","273","121",
"1500000US110010010033","Block Group 3, Census Tract 10.03, District of Columbia, District of Columbia","391","68","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","13","21","17","28","0","13","20","29","90","62","251","65",
"1500000US110010010041","Block Group 1, Census Tract 10.04, District of Columbia, District of Columbia","272","60","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","20","32","0","13","31","42","5","11","0","13","66","44","150","70",
"1500000US110010010042","Block Group 2, Census Tract 10.04, District of Columbia, District of Columbia","846","131","67","87","11","17","34","53","23","35","59","47","11","18","0","13","24","39","53","46","32","49","0","13","32","45","15","25","79","53","143","85","263","100",
"1500000US110010010043","Block Group 3, Census Tract 10.04, District of Columbia, District of Columbia","513","119","0","13","0","13","0","13","0","13","0","13","46","39","0","13","27","43","0","13","35","33","0","13","23","37","33","37","0","13","20","30","329","99",
"1500000US110010011001","Block Group 1, Census Tract 11, District of Columbia, District of Columbia","673","135","18","28","0","13","0","13","36","42","0","13","0","13","0","13","70","82","0","13","0","13","72","101","123","95","42","34","19","32","46","41","247","77",
"1500000US110010011002","Block Group 2, Census Tract 11, District of Columbia, District of Columbia","610","145","50","76","0","13","18","20","0","13","0","13","0","13","32","38","0","13","0","13","0","13","56","72","48","44","77","75","65","51","63","48","201","81",
"1500000US110010011003","Block Group 3, Census Tract 11, District of Columbia, District of Columbia","266","86","14","23","0","13","0","13","14","23","0","13","0","13","15","24","0","13","0","13","8","14","6","12","97","83","38","42","0","13","0","13","74","45",
"1500000US110010011004","Block Group 4, Census Tract 11, District of Columbia, District of Columbia","446","176","101","162","0","13","0","13","0","13","0","13","0","13","19","29","0","13","0","13","0","13","0","13","16","27","30","35","0","13","38","45","242","139",
"1500000US110010012001","Block Group 1, Census Tract 12, District of Columbia, District of Columbia","1092","225","64","42","0","13","104","118","13","21","13","21","31","35","0","13","7","10","14","21","28","35","156","153","177","112","136","79","90","61","64","70","195","98",
"1500000US110010012002","Block Group 2, Census Tract 12, District of Columbia, District of Columbia","536","145","0","13","34","52","17","27","40","65","13","21","0","13","0","13","0","13","19","31","31","37","66","88","62","77","0","13","71","73","78","68","105","49",
"1500000US110010012003","Block Group 3, Census Tract 12, District of Columbia, District of Columbia","335","126","0","13","0","13","13","21","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","19","31","40","37","11","19","119","106","133","72",
"1500000US110010012004","Block Group 4, Census Tract 12, District of Columbia, District of Columbia","451","117","0","13","0","13","0","13","0","13","36","48","0","13","0","13","0","13","0","13","27","43","0","13","31","48","32","26","28","32","37","37","260","95",
"1500000US110010013011","Block Group 1, Census Tract 13.01, District of Columbia, District of Columbia","639","145","60","69","52","85","0","13","0","13","35","40","22","36","0","13","53","82","18","29","21","33","8","12","65","72","56","71","43","47","40","42","166","75",
"1500000US110010013012","Block Group 2, Census Tract 13.01, District of Columbia, District of Columbia","285","75","0","13","0","13","7","15","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","12","20","0","13","63","61","203","88",
"1500000US110010013013","Block Group 3, Census Tract 13.01, District of Columbia, District of Columbia","543","335","17","28","11","19","0","13","17","26","255","327","0","13","0","13","0","13","7","11","13","23","35","41","57","43","50","44","27","32","26","29","28","35",
"1500000US110010013014","Block Group 4, Census Tract 13.01, District of Columbia, District of Columbia","510","133","21","29","0","13","0","13","0","13","0","13","0","13","0","13","16","26","0","13","24","36","140","84","22","34","41","46","42","47","67","56","137","101",
"1500000US110010013031","Block Group 1, Census Tract 13.03, District of Columbia, District of Columbia","824","177","47","51","0","13","9","14","0","13","0","13","103","90","23","36","25","42","0","13","103","126","59","68","92","78","65","67","68","75","73","67","157","97",
"1500000US110010013032","Block Group 2, Census Tract 13.03, District of Columbia, District of Columbia","482","157","18","29","0","13","22","37","0","13","0","13","0","13","0","13","0","13","0","13","21","34","54","49","91","84","0","13","45","71","174","130","57","3",
"1500000US110010013033","Block Group 3, Census Tract 13.03, District of Columbia, District of Columbia","436","196","26","37","23","39","18","28","0","13","0","13","9","16","67","104","0","13","0","13","0","13","88","109","79","128","0","13","0","13","0","13","126","94",
"1500000US110010013034","Block Group 4, Census Tract 13.03, District of Columbia, District of Columbia","306","121","83","62","0","13","0","13","0","13","0","13","0","13","0","13","11","17","0","13","0","13","17","27","57","68","12","19","65","97","0","13","61","83",
